"Site Time","Production meter active power Kilowatts"
"2020-10-01 00:00:00","-0.103"
"2020-10-01 00:15:00","-0.098"
"2020-10-01 00:30:00","-0.102"
"2020-10-01 00:45:00","-0.1"
"2020-10-01 01:00:00","-0.101"
"2020-10-01 01:15:00","-0.103"
"2020-10-01 01:30:00","-0.105"
"2020-10-01 01:45:00","-0.108"
"2020-10-01 02:00:00","-0.1"
"2020-10-01 02:15:00","-0.104"
"2020-10-01 02:30:00","-0.104"
"2020-10-01 02:45:00","-0.107"
"2020-10-01 03:00:00","-0.098"
"2020-10-01 03:15:00","-0.103"
"2020-10-01 03:30:00","-0.107"
"2020-10-01 03:45:00","-0.101"
"2020-10-01 04:00:00","-0.098"
"2020-10-01 04:15:00","-0.101"
"2020-10-01 04:30:00","-0.104"
"2020-10-01 04:45:00","-0.105"
"2020-10-01 05:00:00","-0.1"
"2020-10-01 05:15:00","-0.1"
"2020-10-01 05:30:00","-0.099"
"2020-10-01 05:45:00","-0.103"
"2020-10-01 06:00:00","-0.101"
"2020-10-01 06:15:00","-0.108"
"2020-10-01 06:30:00","-0.105"
"2020-10-01 06:45:00","3.052"
"2020-10-01 07:00:00","15.61"
"2020-10-01 07:15:00","46.584"
"2020-10-01 07:30:00","102.424"
"2020-10-01 07:45:00","171.262"
"2020-10-01 08:00:00","245.688"
"2020-10-01 08:15:00","319.239"
"2020-10-01 08:30:00","396.086"
"2020-10-01 08:45:00","465.244"
"2020-10-01 09:00:00","527.947"
"2020-10-01 09:15:00","592.178"
"2020-10-01 09:30:00","651.15"
"2020-10-01 09:45:00","705.779"
"2020-10-01 10:00:00","753.404"
"2020-10-01 10:15:00","818.418"
"2020-10-01 10:30:00","943.136"
"2020-10-01 10:45:00","692.962"
"2020-10-01 11:00:00","781.916"
"2020-10-01 11:15:00","468.784"
"2020-10-01 11:30:00","813.533"
"2020-10-01 11:45:00","954.696"
"2020-10-01 12:00:00","708.279"
"2020-10-01 12:15:00","463.792"
"2020-10-01 12:30:00","312.077"
"2020-10-01 12:45:00","332.446"
"2020-10-01 13:00:00","649.088"
"2020-10-01 13:15:00","863.146"
"2020-10-01 13:30:00","817.688"
"2020-10-01 13:45:00","721.973"
"2020-10-01 14:00:00","577.924"
"2020-10-01 14:15:00","328.288"
"2020-10-01 14:30:00","792.975"
"2020-10-01 14:45:00","796.192"
"2020-10-01 15:00:00","631.838"
"2020-10-01 15:15:00","350.899"
"2020-10-01 15:30:00","674.474"
"2020-10-01 15:45:00","608.659"
"2020-10-01 16:00:00","516.286"
"2020-10-01 16:15:00","434.566"
"2020-10-01 16:30:00","336.257"
"2020-10-01 16:45:00","269.085"
"2020-10-01 17:00:00","162.502"
"2020-10-01 17:15:00","114.031"
"2020-10-01 17:30:00","65.429"
"2020-10-01 17:45:00","48.549"
"2020-10-01 18:00:00","20.455"
"2020-10-01 18:15:00","5.885"
"2020-10-01 18:30:00","0.36"
"2020-10-01 18:45:00","-0.088"
"2020-10-01 19:00:00","-0.089"
"2020-10-01 19:15:00","-0.088"
"2020-10-01 19:30:00","-0.093"
"2020-10-01 19:45:00","-0.088"
"2020-10-01 20:00:00","-0.088"
"2020-10-01 20:15:00","-0.093"
"2020-10-01 20:30:00","-0.097"
"2020-10-01 20:45:00","-0.095"
"2020-10-01 21:00:00","-0.092"
"2020-10-01 21:15:00","-0.095"
"2020-10-01 21:30:00","-0.098"
"2020-10-01 21:45:00","-0.092"
"2020-10-01 22:00:00","-0.094"
"2020-10-01 22:15:00","-0.096"
"2020-10-01 22:30:00","-0.098"
"2020-10-01 22:45:00","-0.099"
"2020-10-01 23:00:00","-0.108"
"2020-10-01 23:15:00","-0.1"
"2020-10-01 23:30:00","-0.103"
"2020-10-01 23:45:00","-0.101"
"2020-10-02 00:00:00","-0.098"
"2020-10-02 00:15:00","-0.095"
"2020-10-02 00:30:00","-0.097"
"2020-10-02 00:45:00","-0.096"
"2020-10-02 01:00:00","-0.101"
"2020-10-02 01:15:00","-0.097"
"2020-10-02 01:30:00","-0.095"
"2020-10-02 01:45:00","-0.096"
"2020-10-02 02:00:00","-0.103"
"2020-10-02 02:15:00","-0.096"
"2020-10-02 02:30:00","-0.093"
"2020-10-02 02:45:00","-0.095"
"2020-10-02 03:00:00","-0.095"
"2020-10-02 03:15:00","-0.097"
"2020-10-02 03:30:00","-0.101"
"2020-10-02 03:45:00","-0.095"
"2020-10-02 04:00:00","-0.097"
"2020-10-02 04:15:00","-0.092"
"2020-10-02 04:30:00","-0.093"
"2020-10-02 04:45:00","-0.105"
"2020-10-02 05:00:00","-0.099"
"2020-10-02 05:15:00","-0.091"
"2020-10-02 05:30:00","-0.095"
"2020-10-02 05:45:00","-0.097"
"2020-10-02 06:00:00","-0.094"
"2020-10-02 06:15:00","-0.096"
"2020-10-02 06:30:00","-0.094"
"2020-10-02 06:45:00","-0.1"
"2020-10-02 07:00:00","1.145"
"2020-10-02 07:15:00","2.934"
"2020-10-02 07:30:00","7.271"
"2020-10-02 07:45:00","8.127"
"2020-10-02 08:00:00","12.967"
"2020-10-02 08:15:00","32.988"
"2020-10-02 08:30:00","28.359"
"2020-10-02 08:45:00","19.121"
"2020-10-02 09:00:00","24.165"
"2020-10-02 09:15:00","35.668"
"2020-10-02 09:30:00","44.507"
"2020-10-02 09:45:00","40.916"
"2020-10-02 10:00:00","45.564"
"2020-10-02 10:15:00","32.478"
"2020-10-02 10:30:00","47.172"
"2020-10-02 10:45:00","84.797"
"2020-10-02 11:00:00","116.059"
"2020-10-02 11:15:00","95.702"
"2020-10-02 11:30:00","75.405"
"2020-10-02 11:45:00","54.95"
"2020-10-02 12:00:00","79.845"
"2020-10-02 12:15:00","65.01"
"2020-10-02 12:30:00","68.707"
"2020-10-02 12:45:00","81.602"
"2020-10-02 13:00:00","67.57"
"2020-10-02 13:15:00","127.2"
"2020-10-02 13:30:00","290.945"
"2020-10-02 13:45:00","791.206"
"2020-10-02 14:00:00","636.38"
"2020-10-02 14:15:00","641.139"
"2020-10-02 14:30:00","695.312"
"2020-10-02 14:45:00","869.84"
"2020-10-02 15:00:00","669.309"
"2020-10-02 15:15:00","263.897"
"2020-10-02 15:30:00","520.067"
"2020-10-02 15:45:00","611.998"
"2020-10-02 16:00:00","523.504"
"2020-10-02 16:15:00","419.822"
"2020-10-02 16:30:00","318.09"
"2020-10-02 16:45:00","217.01"
"2020-10-02 17:00:00","108.397"
"2020-10-02 17:15:00","70.353"
"2020-10-02 17:30:00","28.638"
"2020-10-02 17:45:00","21.626"
"2020-10-02 18:00:00","13.876"
"2020-10-02 18:15:00","5.641"
"2020-10-02 18:30:00","0.318"
"2020-10-02 18:45:00","-0.091"
"2020-10-02 19:00:00","-0.095"
"2020-10-02 19:15:00","-0.095"
"2020-10-02 19:30:00","-0.092"
"2020-10-02 19:45:00","-0.093"
"2020-10-02 20:00:00","-0.092"
"2020-10-02 20:15:00","-0.097"
"2020-10-02 20:30:00","-0.095"
"2020-10-02 20:45:00","-0.101"
"2020-10-02 21:00:00","-0.097"
"2020-10-02 21:15:00","-0.101"
"2020-10-02 21:30:00","-0.099"
"2020-10-02 21:45:00","-0.101"
"2020-10-02 22:00:00","-0.103"
"2020-10-02 22:15:00","-0.103"
"2020-10-02 22:30:00","-0.102"
"2020-10-02 22:45:00","-0.103"
"2020-10-02 23:00:00","-0.102"
"2020-10-02 23:15:00","-0.104"
"2020-10-02 23:30:00","-0.105"
"2020-10-02 23:45:00","-0.109"
"2020-10-03 00:00:00","-0.103"
"2020-10-03 00:15:00","-0.111"
"2020-10-03 00:30:00","-0.109"
"2020-10-03 00:45:00","-0.102"
"2020-10-03 01:00:00","-0.111"
"2020-10-03 01:15:00","-0.107"
"2020-10-03 01:30:00","-0.114"
"2020-10-03 01:45:00","-0.112"
"2020-10-03 02:00:00","-0.106"
"2020-10-03 02:15:00","-0.107"
"2020-10-03 02:30:00","-0.105"
"2020-10-03 02:45:00","-0.106"
"2020-10-03 03:00:00","-0.113"
"2020-10-03 03:15:00","-0.11"
"2020-10-03 03:30:00","-0.109"
"2020-10-03 03:45:00","-0.106"
"2020-10-03 04:00:00","-0.101"
"2020-10-03 04:15:00","-0.107"
"2020-10-03 04:30:00","-0.11"
"2020-10-03 04:45:00","-0.104"
"2020-10-03 05:00:00","-0.107"
"2020-10-03 05:15:00","-0.111"
"2020-10-03 05:30:00","-0.108"
"2020-10-03 05:45:00","-0.107"
"2020-10-03 06:00:00","-0.112"
"2020-10-03 06:15:00","-0.11"
"2020-10-03 06:30:00","-0.104"
"2020-10-03 06:45:00","3.889"
"2020-10-03 07:00:00","23.122"
"2020-10-03 07:15:00","59.625"
"2020-10-03 07:30:00","108.109"
"2020-10-03 07:45:00","179.443"
"2020-10-03 08:00:00","251.987"
"2020-10-03 08:15:00","312.58"
"2020-10-03 08:30:00","379.62"
"2020-10-03 08:45:00","428.674"
"2020-10-03 09:00:00","502.779"
