"Site Time","POA Watts/meter²","GHI Watts/meter²"
"2020-04-01 00:00:00","0","-1.472"
"2020-04-01 00:15:00","0","-0.542"
"2020-04-01 00:30:00","0","-0.332"
"2020-04-01 00:45:00","0","-0.38"
"2020-04-01 01:00:00","0","-0.424"
"2020-04-01 01:15:00","0","-0.431"
"2020-04-01 01:30:00","0","-0.449"
"2020-04-01 01:45:00","0","-0.563"
"2020-04-01 02:00:00","0","-0.979"
"2020-04-01 02:15:00","0","-1.387"
"2020-04-01 02:30:00","0","-1.509"
"2020-04-01 02:45:00","0","-1.34"
"2020-04-01 03:00:00","0","-1.055"
"2020-04-01 03:15:00","0","-1.196"
"2020-04-01 03:30:00","0","-1.341"
"2020-04-01 03:45:00","0","-1.591"
"2020-04-01 04:00:00","0","-1.559"
"2020-04-01 04:15:00","0","-1.531"
"2020-04-01 04:30:00","0","-1.426"
"2020-04-01 04:45:00","0","-0.992"
"2020-04-01 05:00:00","0","-0.823"
"2020-04-01 05:15:00","0","-0.86"
"2020-04-01 05:30:00","0","-0.796"
"2020-04-01 05:45:00","0","-0.942"
"2020-04-01 06:00:00","0","-1.188"
"2020-04-01 06:15:00","0","-0.289"
"2020-04-01 06:30:00","3.117","4.196"
"2020-04-01 06:45:00","13.256","17.102"
"2020-04-01 07:00:00","22.433","45.183"
"2020-04-01 07:15:00","54.785","73.528"
"2020-04-01 07:30:00","87.399","116.808"
"2020-04-01 07:45:00","223.806","188.807"
"2020-04-01 08:00:00","291.023","241.001"
"2020-04-01 08:15:00","356.218","296.357"
"2020-04-01 08:30:00","414.315","346.742"
"2020-04-01 08:45:00","466.45","390.17"
"2020-04-01 09:00:00","512.267","427.04"
"2020-04-01 09:15:00","554.643","462.56"
"2020-04-01 09:30:00","628.205","524.315"
"2020-04-01 09:45:00","680.542","570.753"
"2020-04-01 10:00:00","736.474","620.955"
"2020-04-01 10:15:00","790.785","667.607"
"2020-04-01 10:30:00","803.218","676.248"
"2020-04-01 10:45:00","765.816","646.874"
"2020-04-01 11:00:00","644.32","555.306"
"2020-04-01 11:15:00","863.414","750.998"
"2020-04-01 11:30:00","581.285","523.166"
"2020-04-01 11:45:00","861.986","747.769"
"2020-04-01 12:00:00","764.755","675.945"
"2020-04-01 12:15:00","694.15","638.087"
"2020-04-01 12:30:00","681.789","646.709"
"2020-04-01 12:45:00","460.4","474.142"
"2020-04-01 13:00:00","481.932","498.214"
"2020-04-01 13:15:00","635.154","604.393"
"2020-04-01 13:30:00","919.623","817.76"
"2020-04-01 13:45:00","670.828","616.921"
"2020-04-01 14:00:00","718.302","644.243"
"2020-04-01 14:15:00","950.044","836.736"
"2020-04-01 14:30:00","771.804","676.444"
"2020-04-01 14:45:00","814.799","715.694"
"2020-04-01 15:00:00","754.696","660.225"
"2020-04-01 15:15:00","729.041","643.768"
"2020-04-01 15:30:00","704.482","621.755"
"2020-04-01 15:45:00","700.846","618.561"
"2020-04-01 16:00:00","659.731","586.841"
"2020-04-01 16:15:00","605.434","538.405"
"2020-04-01 16:30:00","535.362","476.902"
"2020-04-01 16:45:00","480.613","429.818"
"2020-04-01 17:00:00","430.894","388.142"
"2020-04-01 17:15:00","378.599","345.319"
"2020-04-01 17:30:00","317.75","294.427"
"2020-04-01 17:45:00","240.926","228.741"
"2020-04-01 18:00:00","160.192","159.468"
"2020-04-01 18:15:00","77.32","92.098"
"2020-04-01 18:30:00","34.792","41.048"
"2020-04-01 18:45:00","18.898","24.457"
"2020-04-01 19:00:00","1.232","12.305"
"2020-04-01 19:15:00","1.523","2.306"
"2020-04-01 19:30:00","0","-0.868"
"2020-04-01 19:45:00","0","-1.46"
"2020-04-01 20:00:00","0","-1.146"
"2020-04-01 20:15:00","0","-0.891"
"2020-04-01 20:30:00","0","-1.085"
"2020-04-01 20:45:00","0","-1.462"
"2020-04-01 21:00:00","0","-1.557"
"2020-04-01 21:15:00","0","-1.686"
"2020-04-01 21:30:00","0","-1.678"
"2020-04-01 21:45:00","0","-1.68"
"2020-04-01 22:00:00","0","-1.657"
"2020-04-01 22:15:00","0","-1.662"
"2020-04-01 22:30:00","0","-1.618"
"2020-04-01 22:45:00","0","-1.493"
"2020-04-01 23:00:00","0","-1.423"
"2020-04-01 23:15:00","0","-1.455"
"2020-04-01 23:30:00","0","-1.444"
"2020-04-01 23:45:00","0","-1.437"
"2020-04-02 00:00:00","0","-1.459"
"2020-04-02 00:15:00","0","-1.468"
"2020-04-02 00:30:00","0","-1.422"
"2020-04-02 00:45:00","0","-1.421"
"2020-04-02 01:00:00","0","-1.381"
"2020-04-02 01:15:00","0","-1.432"
"2020-04-02 01:30:00","0","-1.497"
"2020-04-02 01:45:00","0","-1.407"
"2020-04-02 02:00:00","0","-1.355"
"2020-04-02 02:15:00","0","-1.33"
"2020-04-02 02:30:00","0","-1.351"
"2020-04-02 02:45:00","0","-1.363"
"2020-04-02 03:00:00","0","-1.407"
"2020-04-02 03:15:00","0","-1.388"
"2020-04-02 03:30:00","0","-1.342"
"2020-04-02 03:45:00","0","-1.305"
"2020-04-02 04:00:00","0","-1.337"
"2020-04-02 04:15:00","0","-1.339"
"2020-04-02 04:30:00","0","-1.297"
"2020-04-02 04:45:00","0","-1.316"
"2020-04-02 05:00:00","0","-1.187"
"2020-04-02 05:15:00","0","-1.173"
"2020-04-02 05:30:00","0","-1.139"
"2020-04-02 05:45:00","0","-1.006"
"2020-04-02 06:00:00","0","-1.026"
"2020-04-02 06:15:00","0","-0.003"
"2020-04-02 06:30:00","3.647","4.165"
"2020-04-02 06:45:00","12.434","14.076"
"2020-04-02 07:00:00","27.404","27.264"
"2020-04-02 07:15:00","41.503","39.754"
"2020-04-02 07:30:00","45.596","46.43"
"2020-04-02 07:45:00","60.425","60.699"
"2020-04-02 08:00:00","105.638","103.746"
"2020-04-02 08:15:00","134.621","129.673"
"2020-04-02 08:30:00","157.082","152.291"
"2020-04-02 08:45:00","170.193","169.06"
"2020-04-02 09:00:00","214.133","212.109"
"2020-04-02 09:15:00","250.434","244.933"
"2020-04-02 09:30:00","292.723","283.166"
"2020-04-02 09:45:00","417.186","391.693"
"2020-04-02 10:00:00","610.093","535.149"
"2020-04-02 10:15:00","785.77","670.614"
"2020-04-02 10:30:00","772.218","671.758"
"2020-04-02 10:45:00","851.524","720.343"
"2020-04-02 11:00:00","855.495","731.184"
"2020-04-02 11:15:00","931.524","796.642"
"2020-04-02 11:30:00","752.027","643.777"
"2020-04-02 11:45:00","954.98","811.515"
"2020-04-02 12:00:00","953.953","806.593"
"2020-04-02 12:15:00","1,053.744","891.349"
"2020-04-02 12:30:00","943.979","801.901"
"2020-04-02 12:45:00","897.434","811.17"
"2020-04-02 13:00:00","857.068","737.125"
"2020-04-02 13:15:00","862.452","756.287"
"2020-04-02 13:30:00","898.288","770.914"
"2020-04-02 13:45:00","1,063.738","943.817"
"2020-04-02 14:00:00","719.305","671.049"
"2020-04-02 14:15:00","723.558","681.926"
"2020-04-02 14:30:00","379.632","398.523"
"2020-04-02 14:45:00","288.815","316.114"
"2020-04-02 15:00:00","251.692","294.396"
"2020-04-02 15:15:00","241.674","276.9"
"2020-04-02 15:30:00","257.573","288.792"
"2020-04-02 15:45:00","199.02","226.414"
"2020-04-02 16:00:00","201.363","232.825"
"2020-04-02 16:15:00","250.32","289.413"
"2020-04-02 16:30:00","195.56","218.375"
"2020-04-02 16:45:00","145.325","168.315"
"2020-04-02 17:00:00","138.09","159.338"
"2020-04-02 17:15:00","107.217","124.441"
"2020-04-02 17:30:00","78.58","87.304"
"2020-04-02 17:45:00","45.619","49.819"
"2020-04-02 18:00:00","36.12","40.871"
"2020-04-02 18:15:00","30.474","33.804"
"2020-04-02 18:30:00","19.237","20.79"
"2020-04-02 18:45:00","7.601","8.084"
"2020-04-02 19:00:00","1.215","1.046"
"2020-04-02 19:15:00","0","-0.772"
"2020-04-02 19:30:00","0","-1.465"
"2020-04-02 19:45:00","0","-1.603"
"2020-04-02 20:00:00","0","-1.396"
"2020-04-02 20:15:00","0","-0.633"
"2020-04-02 20:30:00","0","-0.625"
"2020-04-02 20:45:00","0","-0.574"
"2020-04-02 21:00:00","0","-0.489"
"2020-04-02 21:15:00","0","-0.381"
"2020-04-02 21:30:00","0","-0.388"
"2020-04-02 21:45:00","0","-0.469"
"2020-04-02 22:00:00","0","-0.446"
"2020-04-02 22:15:00","0","-0.502"
"2020-04-02 22:30:00","0","-0.508"
"2020-04-02 22:45:00","0","-0.554"
"2020-04-02 23:00:00","0","-0.598"
"2020-04-02 23:15:00","0","-0.636"
"2020-04-02 23:30:00","0","-0.693"
"2020-04-02 23:45:00","0","-0.76"
"2020-04-03 00:00:00","0","-0.706"
"2020-04-03 00:15:00","0","-0.808"
"2020-04-03 00:30:00","0","-0.779"
"2020-04-03 00:45:00","0","-0.725"
"2020-04-03 01:00:00","0","-0.762"
"2020-04-03 01:15:00","0","-0.794"
"2020-04-03 01:30:00","0","-0.855"
"2020-04-03 01:45:00","0","-0.72"
"2020-04-03 02:00:00","0","-0.528"
"2020-04-03 02:15:00","0","-0.475"
"2020-04-03 02:30:00","0","-0.653"
"2020-04-03 02:45:00","0","-1.016"
"2020-04-03 03:00:00","0","-0.947"
"2020-04-03 03:15:00","0","-0.795"
"2020-04-03 03:30:00","0","-0.759"
"2020-04-03 03:45:00","0","-0.867"
"2020-04-03 04:00:00","0","-0.719"
"2020-04-03 04:15:00","0","-0.538"
"2020-04-03 04:30:00","0","-0.549"
"2020-04-03 04:45:00","0","-0.499"
"2020-04-03 05:00:00","0","-0.369"
"2020-04-03 05:15:00","0","-0.326"
"2020-04-03 05:30:00","0","-0.528"
"2020-04-03 05:45:00","0","-0.488"
"2020-04-03 06:00:00","0","-0.371"
"2020-04-03 06:15:00","0","0.069"
"2020-04-03 06:30:00","2.685","3.007"
"2020-04-03 06:45:00","9.132","10.087"
"2020-04-03 07:00:00","32.694","26.014"
"2020-04-03 07:15:00","57.479","53.687"
"2020-04-03 07:30:00","51.525","52.981"
"2020-04-03 07:45:00","31.323","34.634"
"2020-04-03 08:00:00","33.416","38.86"
"2020-04-03 08:15:00","60.225","66.449"
"2020-04-03 08:30:00","42.966","48.081"
"2020-04-03 08:45:00","58.146","64.045"
"2020-04-03 09:00:00","92.884","99.33"
"2020-04-03 09:15:00","111.659","120.082"
"2020-04-03 09:30:00","101.578","112.117"
"2020-04-03 09:45:00","130.024","142.178"
"2020-04-03 10:00:00","136.778","149.542"
"2020-04-03 10:15:00","141.627","154.128"
"2020-04-03 10:30:00","113.634","124.226"
"2020-04-03 10:45:00","97.062","105.455"
"2020-04-03 11:00:00","87.467","97.136"
"2020-04-03 11:15:00","119.041","133.432"
"2020-04-03 11:30:00","156.303","174.276"
"2020-04-03 11:45:00","180.074","202.676"
