"Site Time","Weather station module temperature ","Weather station ambient temperature Degrees Fahrenheit","Weather station device temperature "
"2020-03-01 00:00:00","17.076","22.032","40.1"
"2020-03-01 00:15:00","17.457","21.94","41"
"2020-03-01 00:30:00","16.087","21.721","41.9"
"2020-03-01 00:45:00","15.867","21.638","41"
"2020-03-01 01:00:00","16.877","21.615","41.9"
"2020-03-01 01:15:00","17.086","21.56","41"
"2020-03-01 01:30:00","16.74","21.462","41"
"2020-03-01 01:45:00","16.752","21.374","40.1"
"2020-03-01 02:00:00","16.275","21.251","41"
"2020-03-01 02:15:00","15.23","21.005","40.1"
"2020-03-01 02:30:00","13.677","20.665","41"
"2020-03-01 02:45:00","13.107","20.38","39.2"
"2020-03-01 03:00:00","12.569","20.117","39.2"
"2020-03-01 03:15:00","12.353","19.977","38.3"
"2020-03-01 03:30:00","12.009","19.758","39.2"
"2020-03-01 03:45:00","13.577","19.762","38.3"
"2020-03-01 04:00:00","13.762","19.904","39.2"
"2020-03-01 04:15:00","13.923","19.878","39.2"
"2020-03-01 04:30:00","13.996","19.89","37.4"
"2020-03-01 04:45:00","13.645","19.704","28.4"
"2020-03-01 05:00:00","13.274","19.319","38.3"
"2020-03-01 05:15:00","12.887","19.234","38.3"
"2020-03-01 05:30:00","11.939","18.526","38.3"
"2020-03-01 05:45:00","11.537","18.26","37.4"
"2020-03-01 06:00:00","11.59","18.009","36.5"
"2020-03-01 06:15:00","12.099","18.147","37.4"
"2020-03-01 06:30:00","12.047","18.141","37.4"
"2020-03-01 06:45:00","13.057","18.406","37.4"
"2020-03-01 07:00:00","18.887","19.749","41.9"
"2020-03-01 07:15:00","25.366","21.317","39.2"
"2020-03-01 07:30:00","28.41","22.227","41"
"2020-03-01 07:45:00","27.828","22.429","42.8"
"2020-03-01 08:00:00","29.694","22.809","44.6"
"2020-03-01 08:15:00","34.906","23.795","42.8"
"2020-03-01 08:30:00","34.472","24.503","43.7"
"2020-03-01 08:45:00","32.948","24.948","44.6"
"2020-03-01 09:00:00","33.456","25.558","46.4"
"2020-03-01 09:15:00","37.766","25.909","47.3"
"2020-03-01 09:30:00","44.374","26.267","47.3"
"2020-03-01 09:45:00","43.052","26.551","47.3"
"2020-03-01 10:00:00","47.348","27.451","48.2"
"2020-03-01 10:15:00","53.125","28.606","47.3"
"2020-03-01 10:30:00","55.165","29.627","49.1"
"2020-03-01 10:45:00","54.085","30.364","50.9"
"2020-03-01 11:00:00","53.02","30.608","48.2"
"2020-03-01 11:15:00","54.752","31.263","50.9"
"2020-03-01 11:30:00","56.778","32.128","49.1"
"2020-03-01 11:45:00","56.478","32.537","53.6"
"2020-03-01 12:00:00","59.761","33.157","52.7"
"2020-03-01 12:15:00","58.337","33.631","54.5"
"2020-03-01 12:30:00","59.438","34.211","56.3"
"2020-03-01 12:45:00","59.422","34.965","57.2"
"2020-03-01 13:00:00","60.226","35.601","59.9"
"2020-03-01 13:15:00","58.742","36.237","59.9"
"2020-03-01 13:30:00","57.556","36.732","61.7"
"2020-03-01 13:45:00","57.526","37.406","64.4"
"2020-03-01 14:00:00","56.999","41.12","64.4"
"2020-03-01 14:15:00","55.284","44.515","66.2"
"2020-03-01 14:30:00","54.751","47.346","67.1"
"2020-03-01 14:45:00","53.222","47.988","65.3"
"2020-03-01 15:00:00","51.367","48.772","68.9"
"2020-03-01 15:15:00","51.541","50.484","68.9"
"2020-03-01 15:30:00","50.541","51.194","69.8"
"2020-03-01 15:45:00","48.101","51.033","71.6"
"2020-03-01 16:00:00","46.774","52.192","71.6"
"2020-03-01 16:15:00","44.16","51.314","70.7"
"2020-03-01 16:30:00","41.868","49.758","70.7"
"2020-03-01 16:45:00","37.01","43.22","66.2"
"2020-03-01 17:00:00","32.733","39.999","61.7"
"2020-03-01 17:15:00","31.253","38.495","59.9"
"2020-03-01 17:30:00","29.6","37.583","58.1"
"2020-03-01 17:45:00","26.933","36.486","55.4"
"2020-03-01 18:00:00","26.453","35.682","53.6"
"2020-03-01 18:15:00","26.126","35.16","52.7"
"2020-03-01 18:30:00","23.822","34.028","51.8"
"2020-03-01 18:45:00","22.244","33.153","50"
"2020-03-01 19:00:00","21.103","32.438","50.9"
"2020-03-01 19:15:00","20.262","31.964","50"
"2020-03-01 19:30:00","19.893","31.562","49.1"
"2020-03-01 19:45:00","19.81","31.201","49.1"
"2020-03-01 20:00:00","19.333","30.867","48.2"
"2020-03-01 20:15:00","18.412","29.996","48.2"
"2020-03-01 20:30:00","18.024","29.588","48.2"
"2020-03-01 20:45:00","17.981","29.485","47.3"
"2020-03-01 21:00:00","18.464","29.639","46.4"
"2020-03-01 21:15:00","17.836","29.179","47.3"
"2020-03-01 21:30:00","17.698","28.857","46.4"
"2020-03-01 21:45:00","17.813","28.691","45.5"
"2020-03-01 22:00:00","17.187","27.633","46.4"
"2020-03-01 22:15:00","16.901","27.567","44.6"
"2020-03-01 22:30:00","17.177","27.584","45.5"
"2020-03-01 22:45:00","17.028","26.78","45.5"
"2020-03-01 23:00:00","16.991","26.992","44.6"
"2020-03-01 23:15:00","16.915","26.569","44.6"
"2020-03-01 23:30:00","19.069","27.222","44.6"
"2020-03-01 23:45:00","21.01","27.413","45.5"
"2020-03-02 00:00:00","22.754","27.728","46.4"
"2020-03-02 00:15:00","23.982","28.297","47.3"
"2020-03-02 00:30:00","24.657","28.601","46.4"
"2020-03-02 00:45:00","24.998","28.656","48.2"
"2020-03-02 01:00:00","25.639","28.874","48.2"
"2020-03-02 01:15:00","26.56","29.24","49.1"
"2020-03-02 01:30:00","27.19","29.581","49.1"
"2020-03-02 01:45:00","27.501","29.603","49.1"
"2020-03-02 02:00:00","27.955","29.98","50"
"2020-03-02 02:15:00","28.299","30.123","49.1"
"2020-03-02 02:30:00","28.468","30.164","51.8"
"2020-03-02 02:45:00","28.55","30.24","50"
"2020-03-02 03:00:00","27.702","30.068","50"
"2020-03-02 03:15:00","25.962","29.729","50"
"2020-03-02 03:30:00","25.313","29.537","50"
"2020-03-02 03:45:00","25.401","29.41","49.1"
"2020-03-02 04:00:00","25.556","29.251","49.1"
"2020-03-02 04:15:00","23.124","28.788","49.1"
"2020-03-02 04:30:00","21.3","28.275","49.1"
"2020-03-02 04:45:00","21.633","28.084","48.2"
"2020-03-02 05:00:00","22.162","27.902","46.4"
"2020-03-02 05:15:00","20.476","27.461","46.4"
"2020-03-02 05:30:00","20.639","27.337","47.3"
"2020-03-02 05:45:00","22.655","27.429","47.3"
"2020-03-02 06:00:00","23.947","27.611","47.3"
"2020-03-02 06:15:00","24.246","27.979","48.2"
"2020-03-02 06:30:00","24.116","27.954","48.2"
"2020-03-02 06:45:00","22.969","27.877","47.3"
"2020-03-02 07:00:00","23.796","27.995","48.2"
"2020-03-02 07:15:00","27.488","28.452","48.2"
"2020-03-02 07:30:00","32.52","29.469","47.3"
"2020-03-02 07:45:00","38.335","31.091","49.1"
"2020-03-02 08:00:00","46.94","32.967","49.1"
"2020-03-02 08:15:00","53.453","34.676","51.8"
"2020-03-02 08:30:00","54.664","35.816","54.5"
"2020-03-02 08:45:00","50.8","36.352","56.3"
"2020-03-02 09:00:00","44.939","36.544","54.5"
"2020-03-02 09:15:00","46.131","37.727","59"
"2020-03-02 09:30:00","52.188","39.97","59"
"2020-03-02 09:45:00","56.264","41.011","60.8"
"2020-03-02 10:00:00","61.265","41.973","62.6"
"2020-03-02 10:15:00","63.39","43.302","63.5"
"2020-03-02 10:30:00","64.295","44.827","64.4"
"2020-03-02 10:45:00","69.15","46.564","66.2"
"2020-03-02 11:00:00","74.265","47.831","67.1"
"2020-03-02 11:15:00","75.182","48.594","68.9"
"2020-03-02 11:30:00","76.442","49.359","69.8"
"2020-03-02 11:45:00","80.667","50.137","71.6"
"2020-03-02 12:00:00","81.492","51.13","72.5"
"2020-03-02 12:15:00","84.474","52.312","73.4"
"2020-03-02 12:30:00","85.184","53.279","75.2"
"2020-03-02 12:45:00","85.134","54.141","77"
"2020-03-02 13:00:00","83.676","54.916","77.9"
"2020-03-02 13:15:00","82.864","55.662","79.7"
"2020-03-02 13:30:00","83.533","56.49","81.5"
"2020-03-02 13:45:00","84.017","57.618","84.2"
"2020-03-02 14:00:00","81.516","61.03","85.1"
"2020-03-02 14:15:00","81.474","64.095","86"
"2020-03-02 14:30:00","78.742","65.191","86.9"
"2020-03-02 14:45:00","76.453","66.046","86.9"
"2020-03-02 15:00:00","75.043","67.402","87.8"
"2020-03-02 15:15:00","72.759","67.749","87.8"
"2020-03-02 15:30:00","70.376","67.655","87.8"
"2020-03-02 15:45:00","68.322","69.039","88.7"
"2020-03-02 16:00:00","63.34","66.322","87.8"
"2020-03-02 16:15:00","57.78","64.54","86"
"2020-03-02 16:30:00","57.145","63.353","86"
"2020-03-02 16:45:00","51.369","58.035","82.4"
"2020-03-02 17:00:00","48.923","55.572","77"
"2020-03-02 17:15:00","46.93","53.867","74.3"
"2020-03-02 17:30:00","45.849","52.581","72.5"
"2020-03-02 17:45:00","45.686","51.837","71.6"
"2020-03-02 18:00:00","45.338","51.153","69.8"
"2020-03-02 18:15:00","45.072","50.745","69.8"
"2020-03-02 18:30:00","44.928","50.321","69.8"
"2020-03-02 18:45:00","44.861","49.958","69.8"
"2020-03-02 19:00:00","44.734","49.652","68"
"2020-03-02 19:15:00","44.235","49.51","68.9"
"2020-03-02 19:30:00","43.821","49.439","68"
"2020-03-02 19:45:00","44.54","49.352","68"
"2020-03-02 20:00:00","45.111","49.406","68"
"2020-03-02 20:15:00","44.696","49.367","68"
"2020-03-02 20:30:00","43.992","49.253","68"
"2020-03-02 20:45:00","43.963","49.291","68"
"2020-03-02 21:00:00","43.393","49.168","67.1"
"2020-03-02 21:15:00","42.936","48.96","68"
"2020-03-02 21:30:00","42.747","48.724","68"
"2020-03-02 21:45:00","42.787","48.518","67.1"
"2020-03-02 22:00:00","43.173","48.552","66.2"
"2020-03-02 22:15:00","43.779","48.895","68"
"2020-03-02 22:30:00","44.894","49.119","68"
"2020-03-02 22:45:00","45.873","49.447","68"
"2020-03-02 23:00:00","46.754","49.776","68"
"2020-03-02 23:15:00","46.92","49.906","69.8"
"2020-03-02 23:30:00","46.401","49.931","68.9"
"2020-03-02 23:45:00","45.745","49.903","69.8"
"2020-03-03 00:00:00","46.311","49.9","69.8"
"2020-03-03 00:15:00","46.606","49.949","68.9"
"2020-03-03 00:30:00","46.574","50.013","68.9"
"2020-03-03 00:45:00","46.68","50.123","69.8"
"2020-03-03 01:00:00","46.212","50.006","69.8"
"2020-03-03 01:15:00","46.87","49.916","68"
"2020-03-03 01:30:00","47.209","49.697","68"
"2020-03-03 01:45:00","46.609","49.365","68"
